video_id,channel_id,channel_title,platform,title,description,language,published_at,view_count,like_count,comment_count,duration_seconds,is_short,extracted_at,engagement_rate,comment_rate,like_to_comment,avg_sentiment
vid_0027,UC_civique_002,CiviqueMontréal,youtube,Jeunesse et engagement politique [27],In this video we discuss: jeunesse et engagement politique [27],fr,2026-03-30 00:00:51.508006+00:00,208195,2688,1753,1370,False,2026-04-30 00:00:51.508006+00:00,12.911,8.42,1.5334,0.11236666666666667
vid_0028,UC_policy_001,PolicyPulse,youtube,The Housing Crisis: Who's Really To Blame? [28],In this video we discuss: the housing crisis: who's really to blame? [28],en,2025-09-01 00:00:51.508006+00:00,339012,17335,1429,285,False,2026-04-30 00:00:51.508006+00:00,51.1339,4.2152,12.1309,0.15404666666666664
vid_0029,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [29],In this video we discuss: healthcare reform explained in 5 minutes [29],en,2025-05-28 00:00:51.508006+00:00,290740,9966,2814,1781,False,2026-04-30 00:00:51.508006+00:00,34.278,9.6788,3.5416,0.19483333333333333
vid_0030,UC_policy_001,PolicyPulse,youtube,Breaking Down the Federal Budget 2025 [30],In this video we discuss: breaking down the federal budget 2025 [30],en,2026-03-05 00:00:51.508006+00:00,209368,13565,643,1726,False,2026-04-30 00:00:51.508006+00:00,64.7902,3.0711,21.0964,0.08163636363636365
vid_0031,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [31],In this video we discuss: healthcare reform explained in 5 minutes [31],en,2025-11-03 00:00:51.508006+00:00,245608,18579,2316,1217,False,2026-04-30 00:00:51.508006+00:00,75.6449,9.4297,8.022,0.08273125
vid_0032,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [32],In this video we discuss: élections 2025 : analyse des plateformes [32],fr,2025-07-10 00:00:51.508006+00:00,476909,22151,3674,502,False,2026-04-30 00:00:51.508006+00:00,46.447,7.7038,6.0291,0.02744615384615385
vid_0033,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [33],In this video we discuss: healthcare reform explained in 5 minutes [33],en,2026-04-22 00:00:51.508006+00:00,413232,30054,1579,673,False,2026-04-30 00:00:51.508006+00:00,72.7291,3.8211,19.0336,0.18138666666666664
vid_0034,UC_policy_001,PolicyPulse,youtube,Election 2025: Platform Comparison [34],In this video we discuss: election 2025: platform comparison [34],en,2026-01-05 00:00:51.508006+00:00,333161,9890,3522,222,False,2026-04-30 00:00:51.508006+00:00,29.6853,10.5715,2.8081,0.12496190476190476
vid_0035,UC_civique_002,CiviqueMontréal,youtube,La loi 101 et son avenir [35],In this video we discuss: la loi 101 et son avenir [35],fr,2025-08-08 00:00:51.508006+00:00,384439,6743,5346,1691,False,2026-04-30 00:00:51.508006+00:00,17.5398,13.906,1.2613,0.10933124999999999
vid_0036,UC_civique_002,CiviqueMontréal,youtube,Droits linguistiques : où en est-on? [36],In this video we discuss: droits linguistiques : où en est-on? [36],fr,2026-02-02 00:00:51.508006+00:00,71060,2555,908,96,False,2026-04-30 00:00:51.508006+00:00,35.9555,12.7779,2.8139,0.07002666666666667
vid_0037,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [37],In this video we discuss: élections 2025 : analyse des plateformes [37],fr,2025-07-09 00:00:51.508006+00:00,158910,12188,918,1734,False,2026-04-30 00:00:51.508006+00:00,76.6975,5.7769,13.2767,0.10534375
vid_0038,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [38],In this video we discuss: comprendre la politique climatique canadienne [38],fr,2025-06-04 00:00:51.508006+00:00,495695,10668,1280,483,False,2026-04-30 00:00:51.508006+00:00,21.5213,2.5822,8.3344,-0.005624999999999998
vid_0039,UC_civique_002,CiviqueMontréal,youtube,Droits linguistiques : où en est-on? [39],In this video we discuss: droits linguistiques : où en est-on? [39],fr,2025-11-22 00:00:51.508006+00:00,496191,35932,5821,1745,False,2026-04-30 00:00:51.508006+00:00,72.4157,11.7314,6.1728,0.06533333333333334
vid_0040,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [40],In this video we discuss: décryptage du système électoral [40],fr,2026-02-07 00:00:51.508006+00:00,58432,1876,703,1611,False,2026-04-30 00:00:51.508006+00:00,32.1057,12.0311,2.6686,0.0739625
vid_0041,UC_civique_002,CiviqueMontréal,youtube,Réforme de la santé : vrai ou faux? [41],In this video we discuss: réforme de la santé : vrai ou faux? [41],fr,2025-09-01 00:00:51.508006+00:00,187142,3108,2191,756,False,2026-04-30 00:00:51.508006+00:00,16.6077,11.7077,1.4185,0.020162500000000007
vid_0042,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [42],In this video we discuss: healthcare reform explained in 5 minutes [42],en,2026-04-28 00:00:51.508006+00:00,473891,8811,6067,1688,False,2026-04-30 00:00:51.508006+00:00,18.5929,12.8025,1.4523,0.185675
vid_0043,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [43],In this video we discuss: why young canadians are disengaged from politics [43],en,2026-03-05 00:00:51.508006+00:00,90044,4678,1203,1351,False,2026-04-30 00:00:51.508006+00:00,51.9524,13.3601,3.8886,0.0508357142857143
vid_0044,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [44],In this video we discuss: climate policy: what ottawa got wrong [44],en,2026-01-17 00:00:51.508006+00:00,499014,38936,4246,579,False,2026-04-30 00:00:51.508006+00:00,78.0259,8.5088,9.17,0.1190529411764706
vid_0045,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [45],In this video we discuss: élections 2025 : analyse des plateformes [45],fr,2026-03-08 00:00:51.508006+00:00,7461,194,27,1683,False,2026-04-30 00:00:51.508006+00:00,26.0019,3.6188,7.1852,0.16104444444444443
vid_0046,UC_policy_001,PolicyPulse,youtube,Immigration Policy Deep Dive [46],In this video we discuss: immigration policy deep dive [46],en,2025-05-12 00:00:51.508006+00:00,148619,8708,1419,245,False,2026-04-30 00:00:51.508006+00:00,58.5928,9.5479,6.1367,0.10526470588235293
vid_0047,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [47],In this video we discuss: élections 2025 : analyse des plateformes [47],fr,2026-02-16 00:00:51.508006+00:00,402160,24161,4667,1559,False,2026-04-30 00:00:51.508006+00:00,60.0781,11.6048,5.177,0.08525555555555557
vid_0048,UC_civique_002,CiviqueMontréal,youtube,La crise du logement à Montréal expliquée [48],In this video we discuss: la crise du logement à montréal expliquée [48],fr,2025-11-23 00:00:51.508006+00:00,283857,10738,1678,249,False,2026-04-30 00:00:51.508006+00:00,37.8289,5.9114,6.3993,0.04186470588235294
vid_0049,UC_civique_002,CiviqueMontréal,youtube,La crise du logement à Montréal expliquée [49],In this video we discuss: la crise du logement à montréal expliquée [49],fr,2025-11-03 00:00:51.508006+00:00,331600,25497,1898,929,False,2026-04-30 00:00:51.508006+00:00,76.8908,5.7238,13.4336,0.18453333333333333
vid_0050,UC_civique_002,CiviqueMontréal,youtube,Souveraineté et fédéralisme en 2025 [50],In this video we discuss: souveraineté et fédéralisme en 2025 [50],fr,2025-10-30 00:00:51.508006+00:00,298669,16241,1008,74,False,2026-04-30 00:00:51.508006+00:00,54.3779,3.375,16.1121,0.01925333333333333
vid_0051,UC_civique_002,CiviqueMontréal,youtube,La loi 101 et son avenir [51],In this video we discuss: la loi 101 et son avenir [51],fr,2026-03-09 00:00:51.508006+00:00,209847,16291,2045,1355,False,2026-04-30 00:00:51.508006+00:00,77.6328,9.7452,7.9663,0.11586923076923077
vid_0052,UC_policy_001,PolicyPulse,youtube,Free Speech Debate on Campus [52],In this video we discuss: free speech debate on campus [52],en,2025-08-04 00:00:51.508006+00:00,216323,14046,482,1453,False,2026-04-30 00:00:51.508006+00:00,64.9307,2.2281,29.1411,0.04817777777777778
vid_0053,UC_policy_001,PolicyPulse,youtube,Immigration Policy Deep Dive [53],In this video we discuss: immigration policy deep dive [53],en,2026-03-21 00:00:51.508006+00:00,414799,27284,2084,539,False,2026-04-30 00:00:51.508006+00:00,65.7764,5.0241,13.0921,0.0447
vid_0054,UC_policy_001,PolicyPulse,youtube,Election 2025: Platform Comparison [54],In this video we discuss: election 2025: platform comparison [54],en,2025-07-25 00:00:51.508006+00:00,466645,24367,3436,1102,False,2026-04-30 00:00:51.508006+00:00,52.2174,7.3632,7.0917,0.07427333333333334
vid_0055,UC_civique_002,CiviqueMontréal,youtube,La crise du logement à Montréal expliquée [55],In this video we discuss: la crise du logement à montréal expliquée [55],fr,2025-12-14 00:00:51.508006+00:00,213228,11862,2831,1669,False,2026-04-30 00:00:51.508006+00:00,55.6306,13.2769,4.19,0.029957142857142866
vid_0056,UC_policy_001,PolicyPulse,youtube,Understanding Indigenous Land Rights [56],In this video we discuss: understanding indigenous land rights [56],en,2025-10-18 00:00:51.508006+00:00,134711,8381,1699,468,False,2026-04-30 00:00:51.508006+00:00,62.2147,12.6122,4.9329,0.065
vid_0057,UC_policy_001,PolicyPulse,youtube,Free Speech Debate on Campus [57],In this video we discuss: free speech debate on campus [57],en,2026-03-22 00:00:51.508006+00:00,33746,1741,131,1590,False,2026-04-30 00:00:51.508006+00:00,51.5913,3.8819,13.2901,-0.0033272727272727243
vid_0058,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [58],In this video we discuss: why young canadians are disengaged from politics [58],en,2026-01-03 00:00:51.508006+00:00,461719,34383,1917,579,False,2026-04-30 00:00:51.508006+00:00,74.4674,4.1519,17.9358,0.11243888888888891
vid_0059,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [59],In this video we discuss: climate policy: what ottawa got wrong [59],en,2026-01-16 00:00:51.508006+00:00,77229,1396,175,1052,False,2026-04-30 00:00:51.508006+00:00,18.0761,2.266,7.9771,0.16070666666666666
vid_0060,UC_civique_002,CiviqueMontréal,youtube,Budget fédéral 2025 : ce qu'il faut retenir [60],In this video we discuss: budget fédéral 2025 : ce qu'il faut retenir [60],fr,2026-02-18 00:00:51.508006+00:00,415581,21352,4508,339,False,2026-04-30 00:00:51.508006+00:00,51.3787,10.8475,4.7365,0.04186470588235295
vid_0061,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [61],In this video we discuss: why young canadians are disengaged from politics [61],en,2025-12-07 00:00:51.508006+00:00,159336,7220,2131,1495,False,2026-04-30 00:00:51.508006+00:00,45.313,13.3743,3.3881,0.10289999999999999
vid_0062,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [62],In this video we discuss: décryptage du système électoral [62],fr,2025-10-16 00:00:51.508006+00:00,246795,6557,1293,106,False,2026-04-30 00:00:51.508006+00:00,26.5686,5.2392,5.0712,0.161725
vid_0063,UC_policy_001,PolicyPulse,youtube,Immigration Policy Deep Dive [63],In this video we discuss: immigration policy deep dive [63],en,2025-10-04 00:00:51.508006+00:00,208423,2802,1429,1709,False,2026-04-30 00:00:51.508006+00:00,13.4438,6.8562,1.9608,0.08263333333333334
vid_0064,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [64],In this video we discuss: comprendre la politique climatique canadienne [64],fr,2025-06-08 00:00:51.508006+00:00,47113,642,660,209,False,2026-04-30 00:00:51.508006+00:00,13.6268,14.0089,0.9727,0.1141125
vid_0065,UC_civique_002,CiviqueMontréal,youtube,Jeunesse et engagement politique [65],In this video we discuss: jeunesse et engagement politique [65],fr,2026-03-24 00:00:51.508006+00:00,421865,30874,6215,1511,False,2026-04-30 00:00:51.508006+00:00,73.1845,14.7322,4.9677,0.12096875
vid_0066,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [66],In this video we discuss: why young canadians are disengaged from politics [66],en,2025-10-01 00:00:51.508006+00:00,314095,20268,1177,1409,False,2026-04-30 00:00:51.508006+00:00,64.5282,3.7473,17.2201,0.17013846153846154
vid_0067,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [67],In this video we discuss: décryptage du système électoral [67],fr,2025-10-16 00:00:51.508006+00:00,257354,18022,2063,601,False,2026-04-30 00:00:51.508006+00:00,70.0281,8.0162,8.7358,0.09739375
vid_0068,UC_civique_002,CiviqueMontréal,youtube,Réforme de la santé : vrai ou faux? [68],In this video we discuss: réforme de la santé : vrai ou faux? [68],fr,2025-08-23 00:00:51.508006+00:00,125274,2478,1028,1162,False,2026-04-30 00:00:51.508006+00:00,19.7806,8.206,2.4105,0.160025
vid_0069,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [69],In this video we discuss: climate policy: what ottawa got wrong [69],en,2025-11-29 00:00:51.508006+00:00,116668,4168,789,1099,False,2026-04-30 00:00:51.508006+00:00,35.7253,6.7628,5.2826,0.06844166666666666
vid_0070,UC_civique_002,CiviqueMontréal,youtube,Réforme de la santé : vrai ou faux? [70],In this video we discuss: réforme de la santé : vrai ou faux? [70],fr,2025-11-23 00:00:51.508006+00:00,91866,2827,1316,701,False,2026-04-30 00:00:51.508006+00:00,30.7731,14.3252,2.1482,0.129
vid_0071,UC_civique_002,CiviqueMontréal,youtube,Jeunesse et engagement politique [71],In this video we discuss: jeunesse et engagement politique [71],fr,2025-05-31 00:00:51.508006+00:00,240714,7940,2156,1541,False,2026-04-30 00:00:51.508006+00:00,32.9852,8.9567,3.6827,0.05264615384615385
vid_0072,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [72],In this video we discuss: décryptage du système électoral [72],fr,2025-11-02 00:00:51.508006+00:00,101577,4803,1038,1185,False,2026-04-30 00:00:51.508006+00:00,47.2843,10.2188,4.6272,0.09591250000000001
vid_0073,UC_civique_002,CiviqueMontréal,youtube,Budget fédéral 2025 : ce qu'il faut retenir [73],In this video we discuss: budget fédéral 2025 : ce qu'il faut retenir [73],fr,2026-01-15 00:00:51.508006+00:00,367579,8883,4055,342,False,2026-04-30 00:00:51.508006+00:00,24.1662,11.0316,2.1906,0.06736153846153846
vid_0074,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [74],In this video we discuss: décryptage du système électoral [74],fr,2025-05-30 00:00:51.508006+00:00,476279,7933,5445,263,False,2026-04-30 00:00:51.508006+00:00,16.6562,11.4324,1.4569,0.07470526315789473
vid_0075,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [75],In this video we discuss: comprendre la politique climatique canadienne [75],fr,2026-03-30 00:00:51.508006+00:00,468001,9181,6769,956,False,2026-04-30 00:00:51.508006+00:00,19.6175,14.4636,1.3563,0.06252857142857143
vid_0076,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [76],In this video we discuss: why young canadians are disengaged from politics [76],en,2025-12-02 00:00:51.508006+00:00,222870,14633,3186,1080,False,2026-04-30 00:00:51.508006+00:00,65.6571,14.2953,4.5929,0.12125714285714286
vid_0077,UC_civique_002,CiviqueMontréal,youtube,Budget fédéral 2025 : ce qu'il faut retenir [77],In this video we discuss: budget fédéral 2025 : ce qu'il faut retenir [77],fr,2026-01-27 00:00:51.508006+00:00,295242,4916,2955,1307,False,2026-04-30 00:00:51.508006+00:00,16.6507,10.0087,1.6636,0.10137857142857143
vid_0078,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [78],In this video we discuss: climate policy: what ottawa got wrong [78],en,2026-03-13 00:00:51.508006+00:00,4422,188,38,1029,False,2026-04-30 00:00:51.508006+00:00,42.5147,8.5934,4.9474,0.06855882352941178
vid_0079,UC_civique_002,CiviqueMontréal,youtube,La loi 101 et son avenir [79],In this video we discuss: la loi 101 et son avenir [79],fr,2025-07-25 00:00:51.508006+00:00,399722,17767,3915,1658,False,2026-04-30 00:00:51.508006+00:00,44.4484,9.7943,4.5382,0.09004666666666666
